a1	    a4	    G_theta	G_k	    U_b	    U_a	    epsilon	mia	    delta	obj1	obj2
0.100	0.100	4.500	10.000	10.000	5.000	2.701	0.396	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	5.000	2.801	0.399	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	5.000	2.900	0.402	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	5.000	3.000	0.404	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.010	0.001	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.110	0.009	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.209	0.017	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.309	0.027	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.409	0.038	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.508	0.050	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.608	0.063	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.708	0.077	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.807	0.093	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	0.907	0.111	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.007	0.130	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.106	0.152	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.206	0.176	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.306	0.202	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.405	0.231	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.505	0.263	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.605	0.298	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.704	0.337	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.804	0.355	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	1.904	0.362	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.003	0.368	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.103	0.373	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.203	0.378	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.302	0.382	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.402	0.387	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.502	0.390	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.601	0.393	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.701	0.396	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.801	0.399	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	2.900	0.402	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	6.000	3.000	0.404	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.010	0.001	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.110	0.009	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.209	0.017	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.309	0.027	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.409	0.038	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.508	0.050	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.608	0.063	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.708	0.077	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.807	0.093	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	0.907	0.111	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.007	0.130	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.106	0.152	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.206	0.176	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.306	0.202	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.405	0.231	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.505	0.263	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.605	0.298	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.704	0.337	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.804	0.355	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	1.904	0.362	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.003	0.368	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.103	0.373	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.203	0.378	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.302	0.382	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.402	0.387	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.502	0.390	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.601	0.393	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.701	0.396	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.801	0.399	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	2.900	0.402	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	7.000	3.000	0.404	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.010	0.001	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.110	0.009	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.209	0.017	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.309	0.027	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.409	0.038	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.508	0.050	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.608	0.063	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.708	0.077	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.807	0.093	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	0.907	0.111	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.007	0.130	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.106	0.152	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.206	0.176	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.306	0.202	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.405	0.231	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.505	0.263	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.605	0.298	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.704	0.337	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.804	0.355	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	1.904	0.362	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.003	0.368	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.103	0.373	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.203	0.378	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.302	0.382	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.402	0.387	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.502	0.390	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.601	0.393	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.701	0.396	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.801	0.399	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	2.900	0.402	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	8.000	3.000	0.404	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.010	0.001	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.110	0.009	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.209	0.017	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.309	0.027	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.409	0.038	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.508	0.050	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.608	0.063	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.708	0.077	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.807	0.093	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	0.907	0.111	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.007	0.130	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.106	0.152	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.206	0.176	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.306	0.202	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.405	0.231	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.505	0.263	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.605	0.298	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.704	0.337	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.804	0.355	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	1.904	0.362	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.003	0.368	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.103	0.373	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.203	0.378	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.302	0.382	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.402	0.387	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.502	0.390	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.601	0.393	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.701	0.396	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.801	0.399	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	2.900	0.402	0.000	45.000	0.000
0.100	0.100	4.500	10.000	10.000	9.000	3.000	0.404	0.000	45.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	2.000	1.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	1.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	3.000	2.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	1.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	2.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.209	0.017	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.309	0.027	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.409	0.038	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.508	0.050	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.608	0.063	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.708	0.077	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.807	0.093	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	0.907	0.111	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.007	0.130	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.106	0.152	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.206	0.176	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.306	0.202	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.405	0.231	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.505	0.263	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.605	0.298	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.704	0.337	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.804	0.355	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	1.904	0.362	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.003	0.368	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.103	0.373	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.203	0.378	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.302	0.382	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.402	0.387	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.502	0.390	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.601	0.393	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.701	0.396	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.801	0.399	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	2.900	0.402	0.000	56.000	0.000
0.100	0.100	5.600	10.000	4.000	3.000	3.000	0.404	0.000	56.000	0.000
0.100	0.100	5.600	10.000	5.000	1.000	0.010	0.001	0.000	56.000	0.000
0.100	0.100	5.600	10.000	5.000	1.000	0.110	0.009	0.000	56.000	0.000
0.100	0.100	5.600	10.000	5.000	1.000	0.209	0.017	0.000	56.000	0.000
